team_key,eafc_player_count,eafc_top_23_ovr,eafc_top_11_ovr,eafc_top_5_ovr,eafc_attack_ovr,eafc_midfield_ovr,eafc_defense_ovr,eafc_gk_ovr,eafc_reliability,eafc_strength_scaled
nigeria,130,77.73913043478261,80.18181818181819,82.4,81.33333333333333,76.75,75.75,67.5,1.0,1633.9569786801887
senegal,119,77.52173913043478,79.72727272727273,81.0,75.0,78.875,75.5,76.0,1.0,1624.9417249923788
cote d'ivoire,118,77.52173913043478,79.27272727272727,80.2,76.0,77.875,78.125,73.0,1.0,1624.9417249923788
sweden,375,77.52173913043478,80.27272727272727,83.6,79.83333333333333,77.5,75.375,73.0,1.0,1624.9417249923788
norway,385,77.26086956521739,80.18181818181819,84.0,79.33333333333333,78.125,74.625,72.0,1.0,1614.1234205670066
japan,99,77.17391304347827,79.27272727272727,80.8,74.0,79.75,74.75,72.0,1.0,1610.517319091883
austria,266,77.17391304347827,79.0909090909091,80.6,72.66666666666667,77.625,78.625,72.33333333333333,1.0,1610.517319091883
usa,400,77.04347826086956,79.54545454545455,81.6,76.66666666666667,77.75,76.75,73.0,1.0,1605.1081668791967
ukraine,83,77.0,79.0909090909091,80.6,73.5,77.375,75.875,78.33333333333333,1.0,1603.3051161416347
poland,313,76.95652173913044,79.9090909090909,82.0,75.66666666666667,75.5,74.375,80.66666666666667,1.0,1601.502065404073
algeria,54,76.43478260869566,79.0,80.8,76.66666666666667,78.0,73.125,76.43478260869566,1.0,1579.8654565533288
greece,95,76.17391304347827,78.0,79.6,75.5,76.125,75.875,75.66666666666667,1.0,1569.047152127957
scotland,254,75.91304347826087,78.63636363636364,81.2,74.66666666666667,77.875,75.25,69.66666666666667,1.0,1558.228847702585
czechia,88,75.91304347826087,77.54545454545455,79.2,76.5,76.25,74.75,75.33333333333333,1.0,1558.228847702585
ghana,116,75.3913043478261,77.9090909090909,80.6,72.83333333333333,77.5,74.75,67.66666666666667,1.0,1536.592238851841
jordan,2,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0.08695652173913043,1520.3647822137827
slovakia,52,74.6086956521739,78.27272727272727,80.6,70.66666666666667,75.0,74.625,76.33333333333333,1.0,1504.1373255757244
cameroon,68,74.56521739130434,77.45454545454545,81.2,75.16666666666667,74.625,73.25,70.33333333333333,1.0,1502.3342748381626
korea republic,400,74.17391304347827,77.0,80.0,76.0,73.75,71.75,74.33333333333333,1.0,1486.106818200105
paraguay,152,74.1304347826087,75.63636363636364,77.0,75.0,73.875,73.5,71.33333333333333,1.0,1484.303767462543
ecuador,107,74.04347826086956,77.18181818181819,82.0,70.66666666666667,74.125,75.75,73.0,1.0,1480.6976659874188
republic of ireland,339,74.0,75.36363636363636,77.0,71.83333333333333,73.375,74.625,74.66666666666667,1.0,1478.8946152498568
mali,68,74.0,75.72727272727273,77.4,73.0,75.375,73.125,67.0,1.0,1478.8946152498568
canada,80,73.6086956521739,77.0909090909091,79.8,74.0,72.0,73.625,73.33333333333333,1.0,1462.6671586117984
chile,154,73.56521739130434,75.0,76.2,72.66666666666667,73.75,73.25,73.66666666666667,1.0,1460.8641078742367
hungary,54,73.56521739130434,77.81818181818181,82.4,66.33333333333333,73.875,73.375,77.0,1.0,1460.8641078742367
mozambique,4,73.5,73.5,73.5,68.0,78.0,74.0,73.5,0.17391304347826086,1458.1595317678937
bosnia and herzegovina,54,73.43478260869566,76.27272727272727,79.0,74.0,73.625,71.75,72.33333333333333,1.0,1455.454955661551
romania,273,73.34782608695652,75.18181818181819,76.6,71.83333333333333,74.625,71.75,72.33333333333333,1.0,1451.8488541864265
libya,3,73.33333333333333,73.33333333333333,73.33333333333333,73.33333333333333,74.0,72.0,73.33333333333333,0.13043478260869565,1451.2478372739058
congo dr,41,73.21739130434783,76.18181818181819,79.0,76.0,71.625,72.875,67.0,1.0,1446.4397019737407
chad,1,73.0,73.0,73.0,73.0,73.0,73.0,73.0,0.043478260869565216,1437.4244482859308
wales,139,72.95652173913044,75.63636363636364,77.0,70.16666666666667,72.875,74.25,70.0,1.0,1435.6213975483688
albania,57,72.73913043478261,74.9090909090909,76.4,70.16666666666667,72.875,73.25,71.33333333333333,1.0,1426.6061438605589
egypt,9,72.66666666666667,72.66666666666667,79.4,70.5,91.0,70.25,72.66666666666667,0.391304347826087,1423.6010592979555
slovenia,51,72.47826086956522,76.0909090909091,79.4,71.33333333333333,73.0,70.125,76.0,1.0,1415.7878394351867
kosovo,61,72.43478260869566,75.18181818181819,78.4,73.0,72.375,70.625,66.0,1.0,1413.984788697625
central african republic,4,72.25,72.25,72.25,71.5,72.25,73.0,72.25,0.17391304347826086,1406.3218230629861
bangladesh,1,72.0,72.0,72.0,72.0,72.0,72.0,72.0,0.043478260869565216,1395.9542813220048
georgia,29,71.78260869565217,76.18181818181819,79.4,73.16666666666667,71.875,69.0,69.33333333333333,1.0,1386.9390276341946
peru,99,71.69565217391305,72.72727272727273,73.6,71.5,71.375,71.875,71.0,1.0,1383.332926159071
malaysia,2,71.5,71.5,71.5,71.5,70.0,73.0,71.5,0.08695652173913043,1375.2191978400417
saudi arabia,270,71.30434782608695,73.36363636363636,75.8,66.16666666666667,72.75,71.375,67.0,1.0,1367.1054695210125
venezuela,94,71.30434782608695,73.72727272727273,75.8,71.5,71.75,69.25,71.66666666666667,1.0,1367.1054695210125
russia,16,71.0625,73.72727272727273,76.6,69.66666666666667,74.8,69.33333333333333,74.0,0.6956521739130435,1357.0759997933242
ir iran,6,71.0,71.0,71.8,78.0,70.66666666666667,68.0,68.0,0.2608695652173913,1354.4841143580788
australia,257,70.82608695652173,72.0909090909091,73.2,69.83333333333333,71.75,70.75,68.66666666666667,1.0,1347.2719114078307
guinea,37,70.78260869565217,75.0,78.0,71.83333333333333,73.25,66.14285714285714,63.0,1.0,1345.4688606702687
finland,63,70.78260869565217,73.27272727272727,75.8,70.5,72.0,67.0,73.0,1.0,1345.4688606702687
uzbekistan,4,70.5,70.5,70.5,68.5,70.5,72.5,70.5,0.17391304347826086,1333.7490308761157
iceland,54,70.17391304347827,72.54545454545455,75.8,69.83333333333333,71.0,68.0,68.33333333333333,1.0,1320.2261503444008
bermuda,1,70.0,70.0,70.0,70.0,70.0,70.0,70.0,0.043478260869565216,1313.0139473941526
mexico,27,70.0,75.9090909090909,78.4,75.66666666666667,66.375,69.5,64.66666666666667,1.0,1313.0139473941526
tunisia,29,69.78260869565217,72.9090909090909,75.2,63.4,71.875,69.375,69.78260869565217,1.0,1303.9986937063427
northern ireland,72,69.56521739130434,71.9090909090909,74.0,65.16666666666667,69.875,71.375,67.33333333333333,1.0,1294.9834400185325
angola,22,69.5,73.0,75.2,70.83333333333333,69.125,74.0,71.0,0.9565217391304348,1292.2788639121898
suriname,29,69.47826086956522,71.54545454545455,73.4,69.66666666666667,69.25,69.625,71.0,1.0,1291.3773385434088
gabon,11,69.45454545454545,69.45454545454545,75.8,80.0,68.0,66.0,69.45454545454545,0.4782608695652174,1290.3938563229203
israel,18,69.38888888888889,72.81818181818181,75.0,66.66666666666667,73.375,65.33333333333333,67.0,0.782608695652174,1287.6710675828645
armenia,9,69.22222222222223,69.22222222222223,73.0,66.5,74.0,61.0,69.22222222222223,0.391304347826087,1280.7593730888773
jamaica,40,69.04347826086956,72.0909090909091,75.0,65.33333333333333,70.125,69.0,70.0,1.0,1273.3468311677887
pakistan,1,69.0,69.0,69.0,69.0,69.0,69.0,69.0,0.043478260869565216,1271.5437804302267
niger,1,69.0,69.0,69.0,69.0,69.0,69.0,69.0,0.043478260869565216,1271.5437804302267
comoros,11,68.81818181818181,68.81818181818181,72.2,64.0,70.2,68.4,68.81818181818181,0.4782608695652174,1264.0037500731491
cabo verde,27,68.78260869565217,71.9090909090909,73.8,69.83333333333333,68.625,68.5,74.0,1.0,1262.5285267424167
gambia,36,68.69565217391305,71.54545454545455,74.6,70.83333333333333,70.25,64.5,68.69565217391305,1.0,1258.9224252672927
burundi,3,68.66666666666667,68.66666666666667,68.66666666666667,68.66666666666667,64.0,71.0,68.66666666666667,0.13043478260869565,1257.7203914422516
palestine,3,68.66666666666667,68.66666666666667,68.66666666666667,69.0,68.5,68.66666666666667,68.66666666666667,0.13043478260869565,1257.7203914422516
madagascar,6,68.66666666666667,68.66666666666667,69.6,65.0,71.33333333333333,66.5,68.66666666666667,0.2608695652173913,1257.7203914422516
zambia,8,68.375,68.375,71.2,69.75,66.33333333333333,69.0,68.375,0.34782608695652173,1245.624926077773
panama,11,68.27272727272727,68.27272727272727,71.6,69.0,67.0,67.4,71.0,0.4782608695652174,1241.3836590019166
china pr,352,68.17391304347827,69.9090909090909,70.4,65.83333333333333,68.25,68.0,69.0,1.0,1237.2858164165489
indonesia,14,68.07142857142857,70.0909090909091,73.6,62.0,64.33333333333333,69.42857142857143,75.0,0.6086956521739131,1233.0357682494382
vanuatu,1,68.0,68.0,68.0,68.0,68.0,68.0,68.0,0.043478260869565216,1230.0736134663007
new zealand,51,68.0,71.0,74.0,67.16666666666667,67.0,67.875,66.33333333333333,1.0,1230.0736134663007
honduras,10,67.9,67.9,71.8,66.66666666666667,68.0,69.5,67.9,0.43478260869565216,1225.9265967699084
north macedonia,17,67.88235294117646,70.81818181818181,74.4,65.0,68.83333333333333,68.0,71.66666666666667,0.7391304347826086,1225.1947702940738
togo,16,67.875,71.0,75.2,70.83333333333333,64.5,68.57142857142857,67.875,0.6956521739130435,1224.88984259581
philippines,4,67.75,67.75,67.75,63.0,69.33333333333333,67.75,67.75,0.17391304347826086,1219.7060717253191
guinea-bissau,22,67.45454545454545,71.0,73.0,70.16666666666667,67.375,68.2,67.45454545454545,0.9565217391304348,1207.4535223950684
guatemala,3,67.33333333333333,67.33333333333333,67.33333333333333,67.33333333333333,67.0,71.0,64.0,0.13043478260869565,1202.4268354903497
montenegro,21,67.28571428571429,71.0909090909091,74.2,67.66666666666667,64.4,68.625,68.0,0.9130434782608695,1200.4520656349252
namibia,1,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.043478260869565216,1188.6034465023747
costa rica,12,67.0,67.72727272727273,69.2,64.66666666666667,67.5,67.25,71.0,0.5217391304347826,1188.6034465023747
sri lanka,1,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.043478260869565216,1188.6034465023747
andorra,1,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.043478260869565216,1188.6034465023747
bulgaria,20,66.95,70.0909090909091,72.4,67.2,70.2,65.75,70.0,0.8695652173913043,1186.5299381541786
equatorial guinea,9,66.88888888888889,66.88888888888889,71.2,64.0,67.0,69.5,67.0,0.391304347826087,1183.9956501730494
burkina faso,25,66.78260869565217,72.0909090909091,75.8,65.33333333333333,64.625,70.28571428571429,67.5,1.0,1179.5881928145645
azerbaijan,14,66.71428571428571,67.9090909090909,69.2,66.5,65.5,67.66666666666667,65.5,0.6086956521739131,1176.7548273698242
bolivia,69,66.6086956521739,68.0,69.8,61.5,66.875,65.625,70.0,1.0,1172.3759898643164
estonia,7,66.57142857142857,66.57142857142857,68.0,66.57142857142857,65.5,66.66666666666667,67.5,0.30434782608695654,1170.8305178035491
belarus,2,66.5,66.5,66.5,66.5,66.5,66.5,66.5,0.08695652173913043,1167.8683630204116
tanzania,3,66.33333333333333,66.33333333333333,66.33333333333333,72.0,68.0,59.0,66.33333333333333,0.13043478260869565,1160.9566685264238
south africa,14,66.28571428571429,68.0909090909091,71.2,66.0,65.4,67.16666666666667,66.28571428571429,0.6086956521739131,1158.9818986709993
liberia,6,66.16666666666667,66.16666666666667,69.4,69.0,63.25,75.0,66.16666666666667,0.2608695652173913,1154.0449740324366
cyprus,24,66.1304347826087,69.36363636363636,71.4,63.666666666666664,65.0,67.375,68.0,1.0,1152.542431751135
luxembourg,14,66.07142857142857,67.72727272727273,71.0,66.07142857142857,69.0,64.28571428571429,66.33333333333333,0.6086956521739131,1150.0954343215863
united arab emirates,10,65.9,65.9,71.2,61.5,65.25,72.5,65.0,0.43478260869565216,1142.9862628420562
iraq,15,65.86666666666666,67.27272727272727,68.8,64.0,65.875,69.33333333333333,65.86666666666666,0.6521739130434783,1141.6039239432582
benin,9,65.77777777777777,65.77777777777777,68.4,71.0,62.666666666666664,63.666666666666664,65.77777777777777,0.391304347826087,1137.917686879798
zimbabwe,14,65.71428571428571,67.54545454545455,71.2,63.0,64.85714285714286,68.0,65.71428571428571,0.6086956521739131,1135.2846604058982
cuba,2,65.5,65.5,65.5,65.5,65.0,65.5,66.0,0.08695652173913043,1126.3981960564856
mauritania,6,65.5,65.5,66.6,65.5,65.0,64.0,69.0,0.2608695652173913,1126.3981960564856
malta,7,65.42857142857143,65.42857142857143,67.6,64.33333333333333,67.33333333333333,63.0,65.42857142857143,0.30434782608695654,1123.436041273348
haiti,12,65.41666666666667,66.36363636363636,70.6,68.66666666666667,62.75,64.75,69.0,0.5217391304347826,1122.9423488094922
syria,10,65.3,65.3,69.2,67.5,61.0,67.0,65.3,0.43478260869565216,1118.1041626637004
dominican republic,9,65.11111111111111,65.11111111111111,71.2,67.5,73.0,62.75,54.0,0.391304347826087,1110.2709089038478
kenya,10,65.1,65.1,68.8,64.0,62.75,67.2,65.1,0.43478260869565216,1109.810129270915
congo,15,64.93333333333334,66.9090909090909,70.4,64.4,67.5,63.666666666666664,64.93333333333334,0.6521739130434783,1102.8984347769278
uganda,7,64.85714285714286,64.85714285714286,66.2,62.0,64.0,65.6,64.85714285714286,0.30434782608695654,1099.7388030082477
curacao,12,64.58333333333333,65.27272727272727,68.8,57.0,65.0,65.5,64.58333333333333,0.5217391304347826,1088.3838763395534
el salvador,4,64.5,64.5,64.5,66.0,64.5,66.0,60.0,0.17391304347826086,1084.9280290925597
latvia,8,64.375,64.375,67.2,63.0,54.0,68.0,64.375,0.34782608695652173,1079.744258222069
st lucia,3,64.33333333333333,64.33333333333333,64.33333333333333,64.33333333333333,66.0,63.5,64.33333333333333,0.13043478260869565,1078.0163345985718
sierra leone,16,64.125,66.9090909090909,69.2,64.4,62.625,67.66666666666667,64.125,0.6956521739130435,1069.3767164810874
guyana,6,64.0,64.0,65.0,64.0,63.75,64.5,64.0,0.2608695652173913,1064.1929456105968
india,206,63.869565217391305,66.27272727272727,67.2,60.5,63.5,63.625,65.66666666666667,1.0,1058.7837933979106
grenada,7,63.857142857142854,63.857142857142854,65.0,63.857142857142854,64.0,63.666666666666664,63.857142857142854,0.30434782608695654,1058.2686360443213
lithuania,7,63.857142857142854,63.857142857142854,67.2,63.857142857142854,68.0,60.333333333333336,66.0,0.30434782608695654,1058.2686360443213
moldova,5,63.6,63.6,63.6,66.0,62.333333333333336,63.6,65.0,0.21739130434782608,1047.6048788250264
rwanda,2,63.5,63.5,63.5,63.5,63.5,63.5,63.5,0.08695652173913043,1043.4578621286337
lebanon,2,63.0,63.0,63.0,62.0,64.0,63.0,63.0,0.08695652173913043,1022.7227786466706
somalia,1,63.0,63.0,63.0,63.0,63.0,63.0,63.0,0.043478260869565216,1022.7227786466706
thailand,1,63.0,63.0,63.0,63.0,63.0,63.0,63.0,0.043478260869565216,1022.7227786466706
barbados,1,63.0,63.0,63.0,63.0,63.0,63.0,63.0,0.043478260869565216,1022.7227786466706
tajikistan,1,62.0,62.0,62.0,62.0,62.0,62.0,62.0,0.043478260869565216,981.2526116827446
montserrat,3,62.0,62.0,62.0,62.0,61.0,62.5,62.0,0.13043478260869565,981.2526116827446
malawi,1,62.0,62.0,62.0,62.0,62.0,62.0,62.0,0.043478260869565216,981.2526116827446
chinese taipei,3,61.666666666666664,61.666666666666664,61.666666666666664,61.666666666666664,61.666666666666664,61.666666666666664,61.666666666666664,0.13043478260869565,967.4292226947691
faroe islands,4,61.25,61.25,61.25,64.0,57.0,64.0,60.0,0.17391304347826086,950.1499864598002
st kitts and nevis,4,61.25,61.25,61.25,61.25,62.5,60.0,61.25,0.17391304347826086,950.1499864598002
antigua and barbuda,4,60.25,60.25,60.25,56.0,60.0,65.0,60.25,0.17391304347826086,908.6798194958742
trinidad and tobago,8,60.125,60.125,62.6,58.5,60.8,60.125,60.0,0.34782608695652173,903.4960486253833
afghanistan,1,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.043478260869565216,898.3122777548926
hong kong,7,59.857142857142854,59.857142857142854,62.0,55.0,59.857142857142854,61.8,59.857142857142854,0.30434782608695654,892.3879681886174
liechtenstein,1,58.0,58.0,58.0,58.0,58.0,58.0,58.0,0.043478260869565216,815.3719438270406
gibraltar,1,52.0,52.0,52.0,52.0,52.0,52.0,52.0,0.043478260869565216,750.0
